ON_STREET,Dir,X_STREET,TYPE,Date,Day,NB,SB,EB,WB,TOT_24,FID
OAKHOLLOW DR,E,ROSEVILLE RD,24,2014-03-13T00:00:00.000Z,TH,,,3937,3891,7828,1
MADISON AVE,W,HAZEL AVE,24,2014-02-13T00:00:00.000Z,TH,,,18235,17602,35837,2
LA SIERRA DR,N,CAYENTE WAY,24,2014-01-07T00:00:00.000Z,T,1002,778,,,1780,3
HOOD FRANKLIN RD,E,3RD ST,24,2014-06-10T00:00:00.000Z,T,,,794,906,1700,4
ROSEVILLE RD,N,DIABLO DR,24,2014-03-18T00:00:00.000Z,T,9593,9867,,,19460,5
WATT AVE,N,DON JULIO BLVD,24,2014-03-18T00:00:00.000Z,T,15256,16854,,,32110,6
DIABLO DR,S,ELKHORN BLVD,24,2014-03-18T00:00:00.000Z,T,3073,2490,,,5563,7
DON JULIO BLVD,E,WATT AVE,24,2014-03-18T00:00:00.000Z,T,,,4026,2734,6760,8
DON JULIO BLVD,N,ELKHORN BLVD,24,2014-03-18T00:00:00.000Z,T,11405,11440,,,22845,9
ELVERTA RD,E,WALERGA RD,24,2014-03-18T00:00:00.000Z,T,,,5361,5171,10532,10
WALERGA RD,N,HILLSDALE BLVD,24,2014-03-18T00:00:00.000Z,T,8920,10360,,,19280,11
BRADSHAW RD,S,KIEFER BLVD,24,2014-03-18T00:00:00.000Z,T,14888,15303,,,30191,12
DIABLO DR,S,ROSEVILLE RD,24,2014-03-18T00:00:00.000Z,T,4180,2501,,,6681,13
KINGS WAY,E,WATT AVE,24,2014-03-18T00:00:00.000Z,T,,,1366,1466,2832,14
ROSEVILLE RD,S,ANTELOPE RD,24,2014-03-18T00:00:00.000Z,T,9356,9980,,,19336,15
ROSEVILLE RD,S,PLACER COUNTY LINE,24,2014-03-18T00:00:00.000Z,T,6058,7159,,,13217,16
ANTELOPE NORTH RD,S,PLACER COUNTY LINE,24,2014-03-18T00:00:00.000Z,T,3326,3450,,,6776,17
ROSEVILLE RD,W,WATT AVE,24,2014-03-18T00:00:00.000Z,T,,,8653,9399,18052,18
WALERGA RD,S,PLACER COUNTY LINE,24,2014-03-18T00:00:00.000Z,T,9697,10444,,,20141,19
WALERGA RD,S,ELKHORN BLVD,24,2014-03-18T00:00:00.000Z,T,8897,9854,,,18751,20
ROSEVILLE RD,S,PALM AVE,24,2014-03-18T00:00:00.000Z,T,8339,7926,,,16265,21
ROBERTSON AVE,E,WATT AVE,24,2014-03-18T00:00:00.000Z,T,,,488,779,1267,22
HAZEL AVE,N,OAK AVE,24,2014-03-25T00:00:00.000Z,T,16973,16973,,,33946,23
